t,abs_zeta,abs_prod,ratio,delta,score,smooth_abs_zeta,smooth_score
35.575960,2.916715542160e+00,9.457451221132e-01,3.242500368798e-01,-1.970970420047e+00,-2.196698510920e+00,2.887550645208e+00,-2.166455765543e+00
35.642738,2.900425575192e+00,8.805483808114e-01,3.035928204271e-01,-2.019877194380e+00,-2.256925358164e+00,2.868552056399e+00,-2.179990937066e+00
35.709516,2.877000082059e+00,8.220439380051e-01,2.857295497249e-01,-2.054956144054e+00,-2.309457658977e+00,2.842530659814e+00,-2.176182205806e+00
35.776294,2.845642997282e+00,7.897055307540e-01,2.775139156627e-01,-2.055937466528e+00,-2.327673252152e+00,2.809098500838e+00,-2.150091430013e+00
35.843072,2.805703027059e+00,8.051247475318e-01,2.869600737380e-01,-2.000578279527e+00,-2.280066329900e+00,2.767958780419e+00,-2.099423238238e+00
35.909850,2.756779878109e+00,8.769933498555e-01,3.181223705307e-01,-1.879786528254e+00,-2.159382444996e+00,2.718960406844e+00,-2.025543528265e+00
35.976628,2.698798785008e+00,9.925766270118e-01,3.677845982908e-01,-1.706222157996e+00,-1.993064622492e+00,2.662136221684e+00,-1.933739888891e+00
36.043406,2.632043172895e+00,1.126080742419e+00,4.278352095496e-01,-1.505962430476e+00,-1.816777598362e+00,2.597719064815e+00,-1.832578191382e+00
36.110184,2.557140744495e+00,1.250338330298e+00,4.889595275465e-01,-1.306802414197e+00,-1.654365296302e+00,2.526132993240e+00,-1.732514475827e+00
36.176962,2.475004233024e+00,1.342208861898e+00,5.423056833556e-01,-1.132795371126e+00,-1.518167551427e+00,2.447960504316e+00,-1.644046614499e+00
36.243740,2.386734344619e+00,1.383971196610e+00,5.798597567971e-01,-1.002763148009e+00,-1.414895051892e+00,2.363890049091e+00,-1.575616422865e+00
36.310518,2.293498103085e+00,1.363650113192e+00,5.945721565489e-01,-9.298479898929e-01,-1.349991404683e+00,2.274650987467e+00,-1.531364517243e+00
36.377295,2.196399239994e+00,1.275228743879e+00,5.805997018478e-01,-9.211704961147e-01,-1.330513051315e+00,2.180945031924e+00,-1.508958687797e+00
36.444073,2.096357916995e+00,1.119049001594e+00,5.338062706382e-01,-9.773089154009e-01,-1.367923808718e+00,2.083383857554e+00,-1.498143921505e+00
36.510851,1.994016399922e+00,9.031602085640e-01,4.529351958185e-01,-1.090856191358e+00,-1.482157115461e+00,1.982441781871e+00,-1.481087925636e+00
36.577629,1.889685850296e+00,6.492510426959e-01,3.435761783338e-01,-1.240434807600e+00,-1.704757019402e+00,1.878430286430e+00,-1.435431780323e+00
36.644407,1.783345028739e+00,4.242761646627e-01,2.379103077786e-01,-1.359068864076e+00,-2.014352364803e+00,1.771497928485e+00,-1.339852336679e+00
36.711185,1.674693061013e+00,4.253329751523e-01,2.539766749228e-01,-1.249360085860e+00,-1.886142748521e+00,1.661655352143e+00,-1.180312398217e+00
36.777963,1.563247617380e+00,6.847667203329e-01,4.380411092392e-01,-8.784808970475e-01,-1.272207979619e+00,1.548824016356e+00,-9.543349500721e-01
36.844741,1.448470733572e+00,1.012878354479e+00,6.992742973694e-01,-4.355923790934e-01,-7.282205331248e-01,1.432898648640e+00,-6.709433650172e-01
36.911519,1.329899885174e+00,1.328948463609e+00,9.992845915879e-01,-9.514215651569e-04,-2.858193295342e-01,1.313826041561e+00,-3.464034120919e-01
36.978297,1.207262588582e+00,1.596137393527e+00,1.322112859806e+00,3.888748049454e-01,9.087563508709e-02,1.191702657122e+00,2.316045947360e-03
37.045075,1.080557723981e+00,1.789365130749e+00,1.655964407118e+00,7.088074067676e-01,4.269062435102e-01,1.066911328821e+00,3.633330616600e-01
37.111853,9.500939869271e-01,1.890456827166e+00,1.989757701004e+00,9.403628402389e-01,7.392072387076e-01,9.403311530186e-01,7.324620157045e-01
37.178631,8.164833744043e-01,1.888146843592e+00,2.312535567512e+00,1.071663469188e+00,1.041093299638e+00,8.136498418497e-01,1.111504695595e+00
37.245409,6.805940087106e-01,1.778771681102e+00,2.613557654543e+00,1.098177672391e+00,1.345501699115e+00,6.897562046432e-01,1.502452369711e+00
37.312187,5.434712929033e-01,1.566607763775e+00,2.882595243266e+00,1.023136470871e+00,1.668469407272e+00,5.730803280279e-01,1.899330233049e+00
37.378965,4.062393740844e-01,1.263520369457e+00,3.110285339291e+00,8.572809953729e-01,2.035527172731e+00,4.696247668841e-01,2.281218042952e+00
37.445743,2.699965112675e-01,8.878796387218e-01,3.288485597660e+00,6.178831274543e-01,2.499773395441e+00,3.864045087610e-01,2.611123008351e+00
37.512521,1.357195235004e-01,4.628847807509e-01,3.410598334066e+00,3.271652572504e-01,3.224052590413e+00,3.301997673621e-01,2.843894482485e+00
37.579299,4.547864010051e-03,1.578946874604e-02,3.471842762032e+00,1.124160473598e-02,6.637783112924e+00,3.059045143178e-01,2.941510566571e+00
37.646077,1.241459620091e-01,4.307195398221e-01,3.469460728737e+00,3.065735778129e-01,3.330296464950e+00,3.151051546474e-01,2.888470996502e+00
37.712855,2.489034262319e-01,8.469800083717e-01,3.402845919776e+00,5.980765821397e-01,2.615302420939e+00,3.555548761181e-01,2.698442988768e+00
