t,abs_zeta,neglog,mollifier_score
18.466208,2.256932591870e+00,-8.140066315810e-01,-7.563779283939e-01
18.528160,2.228486464971e+00,-8.013226402297e-01,-7.452564966459e-01
18.590113,2.198168467943e+00,-7.876244995152e-01,-7.328782880736e-01
18.652065,2.166803511813e+00,-7.732530459988e-01,-7.191937978213e-01
18.714018,2.135054878874e+00,-7.584923512093e-01,-7.041458941155e-01
18.775970,2.103340135721e+00,-7.435266224540e-01,-6.876678605504e-01
18.837922,2.071782770704e+00,-7.284094789901e-01,-6.696805993952e-01
18.899875,2.040207598965e+00,-7.130515673671e-01,-6.500883191587e-01
18.961827,2.008180368721e+00,-6.972290233537e-01,-6.287710810538e-01
19.023780,1.975084068912e+00,-6.806109644910e-01,-6.055693754476e-01
19.085732,1.940218290335e+00,-6.628004880517e-01,-5.802399933176e-01
19.147685,1.902905075068e+00,-6.433817058655e-01,-5.521551374803e-01
19.209637,1.862585256321e+00,-6.219654459665e-01,-5.220712052067e-01
19.271589,1.818892526802e+00,-5.982278146693e-01,-4.898380115865e-01
19.333542,1.771697074618e+00,-5.719378870150e-01,-4.551971745865e-01
19.395494,1.721115420496e+00,-5.429725815091e-01,-4.179612325725e-01
19.457447,1.667487382138e+00,-5.113179324447e-01,-3.779627190931e-01
19.519399,1.611324665418e+00,-4.770566148760e-01,-3.350490154928e-01
19.581352,1.553238498492e+00,-4.403421057766e-01,-2.890860683500e-01
19.643304,1.493856055738e+00,-4.013607345038e-01,-2.399655971802e-01
19.705257,1.433737040883e+00,-3.602843515013e-01,-1.876143444986e-01
19.767209,1.373302323852e+00,-3.172182954470e-01,-1.320047065701e-01
19.829161,1.312785418461e+00,-2.721511542885e-01,-7.316622743552e-02
19.891114,1.252214472926e+00,-2.249135630597e-01,-1.119740639630e-02
19.953066,1.191427480526e+00,-1.751521525290e-01,5.372281576950e-02
20.015019,1.130117497869e+00,-1.223216086185e-01,1.213246172005e-01
20.076971,1.067899227624e+00,-6.569338086563e-02,1.912386979355e-01
20.138924,1.004384818735e+00,-4.375234422876e-03,2.629903536406e-01
20.200876,9.392559668513e-01,6.266724070067e-02,3.359970275540e-01
20.262829,8.723212387893e-01,1.365975286599e-01,4.095700644195e-01
20.324781,8.035511292377e-01,2.187144614325e-01,4.829212385120e-01
20.386733,7.330875599227e-01,3.104901286735e-01,5.551744097196e-01
20.448686,6.612284312075e-01,4.136559130409e-01,6.253823857319e-01
20.510638,5.883909410712e-01,5.303636845419e-01,6.925487503098e-01
20.572591,5.150595970386e-01,6.634726606671e-01,7.556540788797e-01
20.634543,4.417262814500e-01,8.170648592067e-01,8.136856289626e-01
20.696496,3.688305351972e-01,9.974179919279e-01,8.656692919050e-01
20.758448,2.967084510539e-01,1.215005265222e+00,9.107023513088e-01
20.820401,2.255582207790e-01,1.489176963657e+00,9.479854367015e-01
20.882353,1.554301653301e-01,1.861558739359e+00,9.768520070964e-01
20.944305,8.625830375146e-02,2.450408940732e+00,9.967937592139e-01
21.006258,1.836972953364e-02,3.997051048690e+00,1.007480530991e+00
21.068210,5.085533295127e-02,2.978770266192e+00,1.008773554028e+00
21.130163,1.185950780422e-01,2.132040285335e+00,1.000731280069e+00
21.192115,1.864475405945e-01,1.679605357778e+00,9.836074389871e-01
21.254068,2.543859165622e-01,1.368902804543e+00,9.578414452587e-01
21.316020,3.223284233698e-01,1.132184301776e+00,9.240417201533e-01
21.377972,3.900652350018e-01,9.414412820473e-01,8.829629023400e-01
21.439925,4.572714074048e-01,7.824781728950e-01,8.354782495761e-01
21.501877,5.235432272990e-01,6.471356765335e-01,7.825487652739e-01
21.563830,5.884461469419e-01,5.302698637894e-01,7.251907022218e-01
21.625782,6.515658251716e-01,4.283768496523e-01,6.644430979652e-01
21.687735,7.125547681561e-01,3.388985008026e-01,6.013368887622e-01
21.749687,7.711682261276e-01,2.598487357985e-01,5.368669467780e-01
21.811640,8.272845590687e-01,1.896065559981e-01,4.719681101998e-01
21.873592,8.809072423622e-01,1.268029442164e-01,4.074959544809e-01
21.935544,9.321480320114e-01,7.026364320607e-02,3.442127129262e-01
21.997497,9.811934519386e-01,1.898563912458e-02,2.827784234417e-01
22.059449,1.028259434350e+00,-2.786750421121e-02,2.237470794489e-01
22.121402,1.073541172172e+00,-7.096269174357e-02,1.675673154615e-01
22.183354,1.117166456455e+00,-1.107955308779e-01,1.145869737943e-01
22.245307,1.159160495913e+00,-1.476960335562e-01,6.506078332850e-02
22.307259,1.199428313887e+00,-1.818450390165e-01,1.916033240963e-02
22.369212,1.237757630127e+00,-2.133013805621e-01,-2.301447158008e-02
