t,abs_zeta
9.259599,1.519652234056e+00
9.342237,1.525633666273e+00
9.424875,1.526712091568e+00
9.507513,1.524681603665e+00
9.590150,1.521837077782e+00
9.672788,1.520405133957e+00
9.755426,1.521976535080e+00
9.838063,1.527104350610e+00
9.920701,1.535198136215e+00
10.003339,1.544744775528e+00
10.085977,1.553769211595e+00
10.168614,1.560376943824e+00
10.251252,1.563220914302e+00
10.333890,1.561785440390e+00
10.416528,1.556441521444e+00
10.499165,1.548280282077e+00
10.581803,1.538773623221e+00
10.664441,1.529347835960e+00
10.747078,1.520982793108e+00
10.829716,1.513950977611e+00
10.912354,1.507773020832e+00
10.994992,1.501395598225e+00
11.077629,1.493523543053e+00
11.160267,1.482995024137e+00
11.242905,1.469089838067e+00
11.325543,1.451694512830e+00
11.408180,1.431293365091e+00
11.490818,1.408798116291e+00
11.573456,1.385265688081e+00
11.656093,1.361582064002e+00
11.738731,1.338202830342e+00
11.821369,1.315028326935e+00
11.904007,1.291450155851e+00
11.986644,1.266548764899e+00
12.069282,1.239373373442e+00
12.151920,1.209215621462e+00
12.234558,1.175799828082e+00
12.317195,1.139343921358e+00
12.399833,1.100481756999e+00
12.482471,1.060071382939e+00
12.565109,1.018941745138e+00
12.647746,9.776489114084e-01
12.730384,9.363149372820e-01
12.813022,8.946008872193e-01
12.895659,8.518223564344e-01
12.978297,8.071672581333e-01
13.060935,7.599436732879e-01
13.143573,7.097825879607e-01
13.226210,6.567419201528e-01
13.308848,6.012902616648e-01
13.391486,5.441792852937e-01
13.474124,4.862383106401e-01
13.556761,4.281432342595e-01
13.639399,3.702235873033e-01
13.722037,3.123693314806e-01
13.804674,2.540747543655e-01
13.887312,1.946112448347e-01
13.969950,1.332723574594e-01
14.052588,6.961566512478e-02
14.135225,4.654917343952e-03
14.217863,6.475096080966e-02
14.300501,1.341891997465e-01
14.383139,2.041527464581e-01
14.465776,2.738312496105e-01
14.548414,3.426869092978e-01
14.631052,4.105757640080e-01
14.713689,4.777777006681e-01
14.796327,5.449062083810e-01
14.878965,6.127113882159e-01
14.961603,6.818288145141e-01
15.044240,7.525530193551e-01
15.126878,8.247111128805e-01
15.209516,8.976774440316e-01
15.292154,9.705214126573e-01
15.374791,1.042240494525e+00
15.457429,1.112011657557e+00
15.540067,1.179395266670e+00
15.622705,1.244439310607e+00
15.705342,1.307653717088e+00
15.787980,1.369853642986e+00
